category,dataset,split,image,error
palm_leaves,I2,train,000455,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000421,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000283,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000124,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000574,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,test,000029,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,test,000065,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,test,000034,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,test,000031,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,test,000032,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,test,000227,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000100,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000086,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000121,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000115,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000091,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000127,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000116,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000092,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000088,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000093,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000126,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000101,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000104,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000112,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000117,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000109,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000105,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000094,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000085,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000114,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000124,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,train,000097,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,test,000277,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,BKS,test,000278,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000011,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000003,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000004,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000029,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000001,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000017,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000021,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000018,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000015,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000026,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000024,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000014,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000027,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000002,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000013,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000010,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000020,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000023,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000000,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000012,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000008,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000005,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000025,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000019,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000016,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000007,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000009,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000022,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000028,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,UB,test,000006,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,train,000258,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,train,000266,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,train,000261,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,train,000256,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,train,000032,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,train,000273,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000011,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000077,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000049,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000003,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000075,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000040,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000004,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000043,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000053,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000056,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000048,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000029,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000033,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000001,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000054,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000030,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000060,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000017,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000076,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000065,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000021,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000059,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000034,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000035,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000031,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000078,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000018,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000015,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000026,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000071,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000072,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000024,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000014,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000027,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000058,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000063,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000002,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000013,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000068,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000066,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000010,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000047,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000042,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000070,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000020,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000074,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000023,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000000,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000038,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000062,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000039,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000050,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000041,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000051,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000012,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000061,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000008,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000005,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000025,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000032,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000019,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000016,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000067,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000055,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000064,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000007,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000009,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000036,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000073,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000037,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000022,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000028,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000046,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000044,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000057,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000045,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000006,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000069,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,KG,test,000052,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000011,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000003,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000040,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000004,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000043,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000029,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000033,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000001,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000030,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000017,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000021,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000034,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000035,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000031,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000018,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000015,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000026,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000024,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000014,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000027,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000002,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000013,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000010,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000042,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000020,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000023,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000000,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000038,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000039,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000041,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000012,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000008,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000005,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000025,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000032,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000019,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000016,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000007,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000009,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000036,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000037,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000022,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000028,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000044,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,WM,test,000006,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,SM,test,000011,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,SM,test,000003,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,SM,test,000004,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,SM,test,000001,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,SM,test,000015,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,SM,test,000014,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,SM,test,000002,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,SM,test,000013,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,SM,test,000010,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,SM,test,000000,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,SM,test,000012,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,SM,test,000008,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,SM,test,000005,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,SM,test,000007,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,SM,test,000009,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,SM,test,000006,"FileNotFoundError(2, 'No such file or directory')"
english,bozen,train,000108,"FileNotFoundError(2, 'No such file or directory')"
english,bozen,train,000053,"FileNotFoundError(2, 'No such file or directory')"
english,bozen,train,000017,"FileNotFoundError(2, 'No such file or directory')"
english,bozen,train,000304,"FileNotFoundError(2, 'No such file or directory')"
english,bozen,train,000314,"FileNotFoundError(2, 'No such file or directory')"
english,bozen,train,000162,"FileNotFoundError(2, 'No such file or directory')"
english,bozen,train,000289,"FileNotFoundError(2, 'No such file or directory')"
english,bozen,train,000210,"FileNotFoundError(2, 'No such file or directory')"
english,bozen,train,000122,"FileNotFoundError(2, 'No such file or directory')"
english,bozen,train,000261,"FileNotFoundError(2, 'No such file or directory')"
english,bozen,train,000012,"FileNotFoundError(2, 'No such file or directory')"
english,bozen,train,000045,"FileNotFoundError(2, 'No such file or directory')"
english,bozen,train,000342,"FileNotFoundError(2, 'No such file or directory')"
english,bozen,val,000026,"FileNotFoundError(2, 'No such file or directory')"
english,bozen,val,000006,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000268,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000225,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000132,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000202,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000077,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000239,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000154,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000100,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000086,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000075,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000241,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000123,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000152,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000108,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000243,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000185,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000186,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000158,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000029,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000121,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000238,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000167,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000179,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000130,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000083,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000076,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000203,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000215,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000115,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000156,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000143,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000260,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000258,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000188,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000138,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000140,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000080,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000173,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000174,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000216,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000091,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000198,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000187,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000090,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000252,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000200,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000220,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000098,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000149,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000161,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000211,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000082,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000197,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000255,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000078,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000095,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000127,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000190,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000263,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000265,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000116,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000118,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000242,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000259,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000092,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000196,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000250,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000141,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000137,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000071,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000194,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000072,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000131,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000229,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000234,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000088,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000120,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000266,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000178,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000184,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000201,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000219,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000175,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000093,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000150,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000162,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000209,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000212,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000199,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000126,"FileNotFoundError(2, 'No such file or directory')"
english,ICDAR2017cBAD_Complex,train,000208,"FileNotFoundError(2, 'No such file or directory')"
